ITEM_ID,CATEGORY,SUBCATEGORY,PRICE
348,Tecnologi,Tablets,500000
349,Deportes y entretenimiento,Arti,500000
350,Inmuebles,Apartamentos,500000
351,Deportes y entretenimiento,Instrumentos musicales y accesorios,500000
352,Hogar y decoracii,Muebles,500000
353,Electrodomi,Neveras - congeladores,500000
354,Bebi,Dormitorios - cunas,500000
355,Tecnologi,Audio,500000
356,Bebi,Juguetes,500000
357,Tecnologi,Videojuegos - consolas,510000
358,Deportes y entretenimiento,Bicicletas y accesorios,520000
359,Tecnologi,Celulares y teli,520000
360,Tecnologi,Videojuegos - consolas,520000
361,Inmuebles,Fincas,530000
362,Hogar y decoracii,Muebles,550000
363,Tecnologi,Celulares y teli,550000
364,Tecnologi,Camaras y accesorios,550000
365,Deportes y entretenimiento,Bicicletas y accesorios,550000
366,Inmuebles,Oficinas y otros,550000
367,Hogar y decoracii,Dormitorios,550000
368,Tecnologi,Camaras y accesorios,550000
369,Inmuebles,Casas,555000
370,Moda y accesorios,Accesorios,560000
371,Hogar y decoracii,2019-07-29 14:07:37:000951,570000
372,Tecnologi,Camaras y accesorios,580000
373,Hogar y decoracii,Salas,600000
374,Deportes y entretenimiento,Bicicletas y accesorios,600000
375,Tecnologi,Audio,600000
376,Hogar y decoracii,Muebles,600000
377,Tecnologi,Audio,620000
378,Tecnologi,Celulares y teli,630000
379,Tecnologi,Videojuegos - consolas,640000
380,Inmuebles,Apartamentos,640000
381,Deportes y entretenimiento,Arti,650000
382,Inmuebles,Fincas,650000
383,Inmuebles,Apartamentos,650000
384,Tecnologi,Videojuegos - consolas,650000
385,Tecnologi,Computadores  laptops y accesorios,650000
386,Hogar y decoracii,Muebles,650000
387,Tecnologi,Celulares y teli,650000
388,Inmuebles,Apartamentos,650000
389,Hogar y decoracii,Muebles,650000
390,Tecnologi,Tablets,650000
391,Deportes y entretenimiento,Bicicletas y accesorios,650000
392,Deportes y entretenimiento,Arti,650000
393,Inmuebles,Casas,660000
394,Tecnologi,Audio,670000
395,Hogar y decoracii,Muebles,680000
396,Tecnologi,Audio,689900
397,Deportes y entretenimiento,Bicicletas y accesorios,690000
398,Inmuebles,Fincas,700000
399,Inmuebles,Apartamentos,700000
400,Deportes y entretenimiento,Bicicletas y accesorios,700000
401,Moda y accesorios,Vestidos,700000
402,Tecnologi,Celulares y teli,700000
403,Inmuebles,Apartamentos,700000
404,Inmuebles,Apartamentos,700000
405,Hogar y decoracii,Muebles,700000
406,Inmuebles,Fincas,700000
407,Inmuebles,Apartamentos,700000
408,Inmuebles,Apartamentos,720000
409,Tecnologi,Accesorios tecnologi,725000
410,Inmuebles,Apartamentos,730000
411,Tecnologi,Audio,750000
412,Tecnologi,Tablets,750000
413,Inmuebles,Fincas,750000
414,Inmuebles,Apartamentos,750000
415,Tecnologi,Tv - reproductores de video,750000
416,Deportes y entretenimiento,Bicicletas y accesorios,750000
417,Inmuebles,Apartamentos,750000
418,Moda y accesorios,Accesorios,750000
419,Tecnologi,Videojuegos - consolas,750000
420,Inmuebles,Casas,750000
421,Inmuebles,Apartamentos,770000
422,Inmuebles,Apartamentos,790000
423,Inmuebles,Apartamentos,790000
424,Inmuebles,Casas,790000
425,Inmuebles,Apartamentos,800000
426,Tecnologi,Camaras y accesorios,800000
427,Inmuebles,Fincas,800000
428,Tecnologi,Videojuegos - consolas,800000
429,Tecnologi,Celulares y teli,800000
430,Inmuebles,Apartamentos,800000
431,Inmuebles,Apartamentos,800000
432,Deportes y entretenimiento,Bicicletas y accesorios,800000
433,Deportes y entretenimiento,Bicicletas y accesorios,800000
434,Inmuebles,Apartamentos,800000
435,Inmuebles,Apartamentos,800000
436,Tecnologi,Celulares y teli,800000
437,Tecnologi,Celulares y teli,800000
438,Servicios y maquinaria,Disei,800000
439,Electrodomi,Neveras - congeladores,820000
440,Inmuebles,Apartamentos,830000
441,Inmuebles,Apartamentos,830000
442,Inmuebles,Apartamentos,835000
443,Tecnologi,Computadores  laptops y accesorios,850000
444,Electrodomi,Lavadoras - secadoras,850000
445,Deportes y entretenimiento,Bicicletas y accesorios,850000
446,Hogar y decoracii,Muebles,850000
447,Deportes y entretenimiento,Bicicletas y accesorios,850000
448,Hogar y decoracii,Muebles,850000
