USER_ID,UBICATION,CORPORATE
11898,Medellin,Bancolombia
11949,Medellin,Tuya
11950,Medellin,Tuya
11962,Medellin,Tuya
11968,Medellin,Tuya
11969,Medellin,Sura
11981,Medellin,Tuya
11999,Medellin,Tuya
12056,Neiva,Tuya
12080,Medellin,Tuya
12090,Medellin,Bancolombia
12115,Guatemala,BAM
12120,Itagui,Bancolombia
12123,Barranquilla,Tuya
12132,Armenia,Bancolombia
12164,Medellin,Bancolombia
12215,Armenia,Bancolombia
12586,Manizales,Bancolombia
12617,Medellin,Bancolombia
12700,La Union,Bancolombia
12773,Medellin,Bancolombia
12793,Envigado,Tuya
12803,Marinilla,Bancolombia
12920,Medellin,Bancolombia
12943,Rionegro,Bancolombia
12961,Medellin,Bancolombia
12980,Medellin,Bancolombia
12982,Medellin,Bancolombia
13033,Medellin,Bancolombia
13034,Marinilla,Bancolombia
13076,Medellin,Proteccion
13081,Medellin,Proteccion
13184,Medellin,Tuya
13188,Medellin,Proteccion
13201,Santafe De Bogota D.C.,Proteccion
13203,Medellin,Bancolombia
13208,Medellin,Bancolombia
13261,Medellin,Bancolombia
13280,Santafe De Bogota D.C.,Bancolombia
13285,Medellin,Proteccion
13289,Medellin,Bancolombia
13296,Medellin,Proteccion
13322,Medellin,Tuya
13381,Bello,Tuya
13385,Barranquilla,Bancolombia
13446,Medellin,Bancolombia
13466,Santafe De Bogota D.C.,Bancolombia
13479,Medellin,Bancolombia
13551,Medellin,Bancolombia
13607,Santafe De Bogota D.C.,Tuya
13740,Envigado,Bancolombia
13742,Medellin,Bancolombia
13785,Guatemala,BAM
13786,Medellin,Bancolombia
13790,Medellin,Bancolombia
13805,Santafe De Bogota D.C.,Bancolombia
13871,Santafe De Bogota D.C.,Bancolombia
13898,Medellin,Bancolombia
13966,Medellin,Bancolombia
14033,Medellin,Bancolombia
14181,Medellin,Bancolombia
14229,Envigado,Bancolombia
14363,Rionegro,Bancolombia
14412,Rionegro,Bancolombia
14429,Caldas,Proteccion
14438,Medellin,Proteccion
14465,Medellin,Bancolombia
14524,Medellin,Bancolombia
14570,Medellin,Bancolombia
14593,Medellin,Proteccion
14681,Bello,Bancolombia
14692,Medellin,Pragma
14699,Santafe De Bogota D.C.,Bancolombia
